TV Show,Actor
שבאבניקים,"אורי לייזרוביץ', דניאל גד, ישראל אטיאס, מאיה ורטהיימר, עומר פרלמן"
שחר,"אושיק לוי, איתי שגב, יעל בר זוהר, נויה מנדל, נועה תשבי"
שטיסל,"איילת זורר, דב גליקמן, זהר שטראוס, מון שביט, מיכאל אלוני, נטע ריסקין, שירה האס, ששון גבאי"
שכויה,"אסף הרץ, טום יפת, ליאנה עיון, ליהי קורנובסקי, עומר גולדמן, תותי ניניו"
שלטון הצללים,"אביב אלוש, דניאל ליטמן, זאב רווח, חן אמסלם, יפית אסולין, נועה קירל, עומר גולדמן, עירד רובינשטיין, שיפי אלוני, שרי גבעתי, תום אבני, תום גרציאני"
שמים אדומים,"אלונה סער, אמיר ח'ורי, יואב לוי, יעקב זדה-דניאל, לואי נופי, מאור שוויצר"
שעת נעילה,"אביב אלוש, אוהד קנולר, אימרי ביטון, ג'וי ריגר, יהלי תסאת, לי בירן, ליאור אשכנזי, מאור שוויצר, עומר פרלמן, שחר טבוך, תום אבני, תום חגי, תם גל"
"תאג""ד","אור אדרי, אורן פפיסמדוב, אלישע בנאי, אמיר ח'ורי, דין מירושניקוב, דנה לב, דניאל גל, דניאל ליטמן, יחזקאל לזרוב, מיקי לאון, קובי פרג', שירה נאור, שראל פיטרמן, תומר קאפון"
תיכון השיר שלנו,יהודה נהרי הלוי
תמרות עשן,"אורי הוכמן, אליענה שכטר, אמיר אוריין, אסנת פישמן, אפרת בן צור, אפרת דור, ארז דריגס, גרא סנדלר, יאיר להמן, יאנה גור, יונתן השילוני, יוסף אבו ורדה, יורם טולדנו, מארינה מקסימיליאן, נטע פורת, עודד תאומי, צחי גראד, ראידה אדון, רינת מטטוב, שי אביבי"
